positive_prob,neutral_prob,negative_prob
0.0015833072,0.99741495,0.0010017947
0.0015384302,0.022653587,0.9758079
0.0019865485,0.60636514,0.3916484
0.0012781912,0.9630373,0.035684444
0.021316009,0.016294543,0.96238947
0.0012850241,3.8745845e-4,0.99832755
0.010679771,0.0011807339,0.9881395
0.0016466326,0.99746346,8.898691e-4
0.0024861486,0.5868982,0.4106156
0.03194374,0.13998811,0.8280682
0.0013156811,0.99631715,0.0023670474
0.96980584,0.028671013,0.0015231207
0.0017730132,0.30571857,0.6925084
0.008807074,0.9136693,0.07752358
0.0021728587,0.9967265,0.001100676
0.0020840308,0.9946538,0.003262142
0.012021894,0.67043984,0.31753832
9.7587315e-4,0.9722054,0.02681881
0.0023090295,0.9960878,0.0016031474
0.0015873704,0.008611849,0.98980075
0.0036268039,0.05149791,0.94487536
0.0012059887,0.005133262,0.99366075
4.0325362e-4,0.99841607,0.0011807269
0.0041573984,0.9677117,0.028130932
0.0011854945,0.998109,7.055618e-4
0.0017296118,0.9941907,0.0040797554
3.2503347e-4,0.9959337,0.0037412446
0.0021383637,0.9969512,9.103329e-4
4.9008656e-4,0.9859577,0.0135521805
7.249968e-4,0.99440247,0.0048725307
0.0030931067,0.97885257,0.018054377
0.0010871456,0.99113035,0.007782499
0.0011236662,0.7593914,0.23948492
3.8698097e-4,0.98790747,0.011705511
0.0016989243,0.65365463,0.34464645
0.78966117,0.15265095,0.057687838
0.029142639,0.793746,0.17711134
0.0011073359,0.99543977,0.0034527772
0.0023785469,0.9925719,0.005049611
0.023421936,0.9626908,0.013887365
0.0021510045,0.3083472,0.68950176
0.0023099117,0.9969289,7.61239e-4
0.008177208,0.9768528,0.014969976
0.0010014641,0.0012840915,0.9977144
8.121625e-4,0.9982514,9.364731e-4
0.08626242,0.24707921,0.6666584
0.0071324348,0.98768556,0.0051820725
0.002089492,0.97254306,0.025367409
5.453668e-4,5.1139813e-4,0.99894327
0.053851094,0.93252397,0.0136248395
0.010697371,0.22110374,0.76819897
0.017905476,0.9108291,0.071265385
0.0015948445,0.997532,8.730197e-4
8.8385266e-4,0.99815565,9.604502e-4
0.012947817,0.024805292,0.96224695
5.330059e-4,0.004668741,0.9947982
0.036747545,0.9601789,0.0030734998
0.41317743,0.5851107,0.0017119142
