X,ID,køn,Political_Orientation,word_id,n,n_doc
2,2,Begge,Right-winged,1279,5,5
2,2,Begge,Right-winged,1073,20,15
2,2,Begge,Right-winged,90,11,9
2,2,Begge,Right-winged,866,28,23
2,2,Begge,Right-winged,97,6,6
2,2,Begge,Right-winged,429,119,76
2,2,Begge,Right-winged,626,12,11
2,2,Begge,Right-winged,360,9,8
2,2,Begge,Right-winged,757,9,8
2,2,Begge,Right-winged,56,201,101
2,2,Begge,Right-winged,867,53,39
2,2,Begge,Right-winged,327,164,78
2,2,Begge,Right-winged,699,95,67
2,2,Begge,Right-winged,257,8,8
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,396,12,11
2,2,Begge,Right-winged,213,210,112
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,838,40,30
2,2,Begge,Right-winged,440,30,25
2,2,Begge,Right-winged,1155,49,27
2,2,Begge,Right-winged,56,201,101
2,2,Begge,Right-winged,261,68,52
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,1182,17,14
2,2,Begge,Right-winged,227,77,38
2,2,Begge,Right-winged,112,8,8
2,2,Begge,Right-winged,26,241,72
2,2,Begge,Right-winged,61,253,110
2,2,Begge,Right-winged,871,123,63
2,2,Begge,Right-winged,369,113,74
2,2,Begge,Right-winged,1182,17,14
2,2,Begge,Right-winged,1183,124,63
2,2,Begge,Right-winged,1072,152,85
2,2,Begge,Right-winged,369,113,74
2,2,Begge,Right-winged,960,232,102
2,2,Begge,Right-winged,878,38,26
2,2,Begge,Right-winged,1246,28,24
2,2,Begge,Right-winged,369,113,74
2,2,Begge,Right-winged,1176,51,44
2,2,Begge,Right-winged,61,253,110
2,2,Begge,Right-winged,115,48,30
2,2,Begge,Right-winged,56,201,101
2,2,Begge,Right-winged,675,160,60
2,2,Begge,Right-winged,1085,41,28
2,2,Begge,Right-winged,760,10,10
2,2,Begge,Right-winged,1026,89,63
2,2,Begge,Right-winged,838,40,30
2,2,Begge,Right-winged,840,106,75
2,2,Begge,Right-winged,577,7,7
2,2,Begge,Right-winged,63,53,32
2,2,Begge,Right-winged,305,15,11
2,2,Begge,Right-winged,629,70,37
2,2,Begge,Right-winged,1134,20,11
2,2,Begge,Right-winged,878,38,26
2,2,Begge,Right-winged,1237,80,37
2,2,Begge,Right-winged,543,27,14
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,269,39,24
2,2,Begge,Right-winged,1116,51,28
2,2,Begge,Right-winged,795,75,34
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,1208,23,16
2,2,Begge,Right-winged,1166,41,32
2,2,Begge,Right-winged,448,20,15
2,2,Begge,Right-winged,879,29,20
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,1018,153,91
2,2,Begge,Right-winged,423,94,50
2,2,Begge,Right-winged,675,160,60
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,848,79,32
2,2,Begge,Right-winged,846,6,5
2,2,Begge,Right-winged,497,97,64
2,2,Begge,Right-winged,444,219,107
2,2,Begge,Right-winged,739,24,19
2,2,Begge,Right-winged,806,61,34
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,507,17,10
2,2,Begge,Right-winged,1230,18,18
2,2,Begge,Right-winged,311,100,58
2,2,Begge,Right-winged,177,99,64
2,2,Begge,Right-winged,256,35,19
2,2,Begge,Right-winged,599,18,11
2,2,Begge,Right-winged,477,19,14
2,2,Begge,Right-winged,1127,65,35
2,2,Begge,Right-winged,56,201,101
2,2,Begge,Right-winged,1138,9,6
2,2,Begge,Right-winged,1127,65,35
2,2,Begge,Right-winged,1183,124,63
2,2,Begge,Right-winged,394,16,15
2,2,Begge,Right-winged,227,77,38
2,2,Begge,Right-winged,930,5,5
2,2,Begge,Right-winged,1283,34,23
2,2,Begge,Right-winged,26,241,72
2,2,Begge,Right-winged,104,19,16
2,2,Begge,Right-winged,1280,124,81
2,2,Begge,Right-winged,1033,48,33
2,2,Begge,Right-winged,1270,90,57
2,2,Begge,Right-winged,1018,153,91
2,2,Begge,Right-winged,1074,36,28
2,2,Begge,Right-winged,1128,13,7
2,2,Begge,Right-winged,1007,27,20
2,2,Begge,Right-winged,85,41,33
2,2,Begge,Right-winged,709,44,32
2,2,Begge,Right-winged,1026,89,63
2,2,Begge,Right-winged,1018,153,91
2,2,Begge,Right-winged,423,94,50
2,2,Begge,Right-winged,675,160,60
2,2,Begge,Right-winged,809,117,60
2,2,Begge,Right-winged,823,6,6
2,2,Begge,Right-winged,615,54,30
2,2,Begge,Right-winged,423,94,50
2,2,Begge,Right-winged,675,160,60
2,2,Begge,Right-winged,911,13,9
2,2,Begge,Right-winged,850,12,7
2,2,Begge,Right-winged,328,32,23
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,636,7,7
2,2,Begge,Right-winged,18,53,37
2,2,Begge,Right-winged,146,43,29
2,2,Begge,Right-winged,123,14,11
2,2,Begge,Right-winged,145,175,97
2,2,Begge,Right-winged,809,117,60
2,2,Begge,Right-winged,1254,99,64
2,2,Begge,Right-winged,959,35,27
2,2,Begge,Right-winged,611,44,36
2,2,Begge,Right-winged,547,16,12
2,2,Begge,Right-winged,227,77,38
2,2,Begge,Right-winged,1194,24,18
2,2,Begge,Right-winged,966,45,34
2,2,Begge,Right-winged,552,13,9
2,2,Begge,Right-winged,1194,24,18
2,2,Begge,Right-winged,641,72,42
2,2,Begge,Right-winged,85,41,33
2,2,Begge,Right-winged,1142,220,117
2,2,Begge,Right-winged,1074,36,28
2,2,Begge,Right-winged,1142,220,117
2,2,Begge,Right-winged,145,175,97
2,2,Begge,Right-winged,552,13,9
2,2,Begge,Right-winged,957,35,33
2,2,Begge,Right-winged,1237,80,37
2,2,Begge,Right-winged,1196,13,12
2,2,Begge,Right-winged,177,99,64
2,2,Begge,Right-winged,1142,220,117
2,2,Begge,Right-winged,899,92,55
2,2,Begge,Right-winged,868,13,9
2,2,Begge,Right-winged,85,41,33
2,2,Begge,Right-winged,840,106,75
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,1013,90,65
2,2,Begge,Right-winged,793,18,16
2,2,Begge,Right-winged,1221,21,17
2,2,Begge,Right-winged,639,148,69
2,2,Begge,Right-winged,919,28,18
2,2,Begge,Right-winged,47,21,6
2,2,Begge,Right-winged,164,22,6
2,2,Begge,Right-winged,1,13,10
2,2,Begge,Right-winged,1249,34,23
2,2,Begge,Right-winged,275,25,15
2,2,Begge,Right-winged,36,12,10
2,2,Begge,Right-winged,85,41,33
2,2,Begge,Right-winged,230,36,24
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,261,68,52
2,2,Begge,Right-winged,600,12,9
2,2,Begge,Right-winged,896,68,41
2,2,Begge,Right-winged,1178,26,22
2,2,Begge,Right-winged,260,28,22
2,2,Begge,Right-winged,473,103,58
2,2,Begge,Right-winged,960,232,102
2,2,Begge,Right-winged,159,50,28
2,2,Begge,Right-winged,333,37,22
2,2,Begge,Right-winged,913,42,24
2,2,Begge,Right-winged,671,106,57
2,2,Begge,Right-winged,570,61,41
2,2,Begge,Right-winged,1193,77,52
2,2,Begge,Right-winged,1205,14,14
2,2,Begge,Right-winged,184,8,5
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,395,165,92
2,2,Begge,Right-winged,897,101,64
2,2,Begge,Right-winged,1138,9,6
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,332,68,53
2,2,Begge,Right-winged,74,23,16
2,2,Begge,Right-winged,1245,7,6
2,2,Begge,Right-winged,1080,16,12
2,2,Begge,Right-winged,931,22,12
2,2,Begge,Right-winged,980,75,50
2,2,Begge,Right-winged,940,174,75
2,2,Begge,Right-winged,524,122,78
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,23,7,5
2,2,Begge,Right-winged,44,8,6
2,2,Begge,Right-winged,931,22,12
2,2,Begge,Right-winged,1252,32,19
2,2,Begge,Right-winged,537,7,7
2,2,Begge,Right-winged,1194,24,18
2,2,Begge,Right-winged,664,57,43
2,2,Begge,Right-winged,602,36,25
2,2,Begge,Right-winged,1217,7,6
2,2,Begge,Right-winged,842,33,21
2,2,Begge,Right-winged,61,253,110
2,2,Begge,Right-winged,308,53,30
2,2,Begge,Right-winged,940,174,75
2,2,Begge,Right-winged,819,158,87
2,2,Begge,Right-winged,1292,22,19
2,2,Begge,Right-winged,194,29,20
2,2,Begge,Right-winged,1041,37,26
2,2,Begge,Right-winged,497,97,64
2,2,Begge,Right-winged,452,83,57
2,2,Begge,Right-winged,906,14,12
2,2,Begge,Right-winged,395,165,92
2,2,Begge,Right-winged,813,12,12
2,2,Begge,Right-winged,960,232,102
2,2,Begge,Right-winged,848,79,32
2,2,Begge,Right-winged,1006,57,32
2,2,Begge,Right-winged,1012,95,62
2,2,Begge,Right-winged,1168,25,13
2,2,Begge,Right-winged,1288,174,54
2,2,Begge,Right-winged,896,68,41
2,2,Begge,Right-winged,697,8,8
2,2,Begge,Right-winged,500,49,32
2,2,Begge,Right-winged,602,36,25
2,2,Begge,Right-winged,390,116,51
2,2,Begge,Right-winged,380,66,35
2,2,Begge,Right-winged,787,26,9
2,2,Begge,Right-winged,123,14,11
2,2,Begge,Right-winged,838,40,30
2,2,Begge,Right-winged,145,175,97
2,2,Begge,Right-winged,1130,8,5
2,2,Begge,Right-winged,785,49,34
2,2,Begge,Right-winged,145,175,97
2,2,Begge,Right-winged,611,44,36
2,2,Begge,Right-winged,198,12,9
2,2,Begge,Right-winged,544,41,22
2,2,Begge,Right-winged,436,5,5
2,2,Begge,Right-winged,970,19,17
2,2,Begge,Right-winged,555,6,5
2,2,Begge,Right-winged,88,7,7
2,2,Begge,Right-winged,927,40,33
2,2,Begge,Right-winged,1072,152,85
2,2,Begge,Right-winged,206,15,8
2,2,Begge,Right-winged,671,106,57
2,2,Begge,Right-winged,72,10,9
2,2,Begge,Right-winged,684,38,24
2,2,Begge,Right-winged,422,20,17
2,2,Begge,Right-winged,1254,99,64
2,2,Begge,Right-winged,570,61,41
2,2,Begge,Right-winged,294,23,21
2,2,Begge,Right-winged,27,6,6
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,755,103,48
2,2,Begge,Right-winged,634,96,58
2,2,Begge,Right-winged,657,16,8
2,2,Begge,Right-winged,327,164,78
2,2,Begge,Right-winged,21,52,36
2,2,Begge,Right-winged,361,19,17
2,2,Begge,Right-winged,769,222,103
2,2,Begge,Right-winged,852,45,28
2,2,Begge,Right-winged,769,222,103
2,2,Begge,Right-winged,852,45,28
2,2,Begge,Right-winged,1255,18,11
2,2,Begge,Right-winged,852,45,28
2,2,Begge,Right-winged,21,52,36
2,2,Begge,Right-winged,457,16,13
2,2,Begge,Right-winged,499,242,105
2,2,Begge,Right-winged,327,164,78
2,2,Begge,Right-winged,1255,18,11
2,2,Begge,Right-winged,852,45,28
2,2,Begge,Right-winged,499,242,105
2,2,Begge,Right-winged,327,164,78
2,2,Begge,Right-winged,840,106,75
2,2,Begge,Right-winged,21,52,36
2,2,Begge,Right-winged,171,47,36
2,2,Begge,Right-winged,852,45,28
2,2,Begge,Right-winged,672,15,14
2,2,Begge,Right-winged,395,165,92
2,2,Begge,Right-winged,432,87,56
2,2,Begge,Right-winged,899,92,55
2,2,Begge,Right-winged,390,116,51
3,3,Ingen,NA,173,33,23
3,3,Ingen,NA,897,101,64
3,3,Ingen,NA,320,63,47
3,3,Ingen,NA,411,16,13
3,3,Ingen,NA,26,241,72
3,3,Ingen,NA,903,21,18
3,3,Ingen,NA,28,17,15
3,3,Ingen,NA,132,16,13
3,3,Ingen,NA,602,36,25
3,3,Ingen,NA,145,175,97
3,3,Ingen,NA,26,241,72
3,3,Ingen,NA,1280,124,81
3,3,Ingen,NA,1033,48,33
3,3,Ingen,NA,1270,90,57
3,3,Ingen,NA,414,28,19
3,3,Ingen,NA,493,46,30
3,3,Ingen,NA,61,253,110
3,3,Ingen,NA,385,48,34
3,3,Ingen,NA,369,113,74
3,3,Ingen,NA,675,160,60
3,3,Ingen,NA,880,31,21
3,3,Ingen,NA,693,85,58
3,3,Ingen,NA,338,29,27
3,3,Ingen,NA,960,232,102
3,3,Ingen,NA,990,92,63
3,3,Ingen,NA,55,34,23
3,3,Ingen,NA,93,50,31
3,3,Ingen,NA,960,232,102
3,3,Ingen,NA,327,164,78
3,3,Ingen,NA,1199,6,5
3,3,Ingen,NA,755,103,48
3,3,Ingen,NA,327,164,78
3,3,Ingen,NA,1209,51,41
3,3,Ingen,NA,960,232,102
3,3,Ingen,NA,93,50,31
3,3,Ingen,NA,499,242,105
3,3,Ingen,NA,347,39,35
3,3,Ingen,NA,327,164,78
3,3,Ingen,NA,21,52,36
3,3,Ingen,NA,395,165,92
3,3,Ingen,NA,327,164,78
3,3,Ingen,NA,939,163,78
3,3,Ingen,NA,812,35,20
3,3,Ingen,NA,677,69,39
3,3,Ingen,NA,1005,161,30
3,3,Ingen,NA,1244,15,10
3,3,Ingen,NA,647,11,11
3,3,Ingen,NA,1101,10,9
3,3,Ingen,NA,1254,99,64
3,3,Ingen,NA,852,45,28
3,3,Ingen,NA,26,241,72
3,3,Ingen,NA,1072,152,85
3,3,Ingen,NA,980,75,50
3,3,Ingen,NA,1252,32,19
3,3,Ingen,NA,1010,50,29
3,3,Ingen,NA,926,41,32
3,3,Ingen,NA,1274,138,44
3,3,Ingen,NA,263,28,23
3,3,Ingen,NA,35,12,12
3,3,Ingen,NA,367,8,8
3,3,Ingen,NA,1026,89,63
3,3,Ingen,NA,80,23,22
3,3,Ingen,NA,863,29,27
3,3,Ingen,NA,639,148,69
3,3,Ingen,NA,1018,153,91
3,3,Ingen,NA,748,35,31
